文件名,歌名,语种,总歌手,歌手1,歌手2,歌手3,歌手4,性别1,性别2,性别3,性别4,原唱,伴奏,版本
802814L2,外婆的澎湖湾,国语,张明敏,张明敏,,,,男,,,,L,R,6
21494D7,落花流水,粤语,陈奕迅,陈奕迅,,,,男,,,,L,R,3
802857L2,乡间的小路,国语,卓依婷,卓依婷,,,,女,,,,L,R,1
802860L2,蜗牛与黄鹂鸟,国语,卓依婷,卓依婷,,,,女,,,,L,R,1
802869L2,婉君,国语,高胜美,高胜美,,,,女,,,,L,R,4
802872L2,小草,国语,卓依婷,卓依婷,,,,女,,,,L,R,1
802953L2,枉凝眉,国语,陈力,陈力,,,,女,,,,L,R,4
811693G2,无可取代,国语,弦子,弦子,,,,女,,,,0,R,4
804435L2,忘不了,国语,施文彬,施文彬,,,,男,,,,L,R,1
804504L2,舞女泪,国语,庄学忠,庄学忠,,,,男,,,,L,R,1
804722L2,吐鲁番的葡萄熟了,国语,关牧村,关牧村,,,,女,,,,L,R,2
804860L2,我爱你塞北的雪,国语,彭丽媛,彭丽媛,,,,女,,,,L,R,11
Ma813898,个人秘密,国语,张靓颖,张靓颖,,,,女,,,,1,2,
28153L7,护花使者,粤语,谭咏麟^李克勤,谭咏麟,李克勤,,,男,男,,,L,R,3
27953L2,从不知,粤语,张国荣,张国荣,,,,男,,,,L,R,1
806428P2,乌苏里船歌,国语,蒋大为,蒋大为,,,,男,,,,R,L,6
806429P2,无奈的思绪,国语,韩宝仪,韩宝仪,,,,女,,,,L,R,11
807248L2,往事只能回味,国语,韩宝仪,韩宝仪,,,,女,,,,L,R,1
807310L2,我可以抱你吗,国语,迪克牛仔,迪克牛仔,,,,男,,,,R,L,3
55760Y,你如何还能这样的温柔,国语,赵传,赵传,,,,男,,,,L,R,17
55789Y,羞答答的玫瑰静悄悄地开,国语,孟庭苇,孟庭苇,,,,女,,,,L,R,
807312L2,心动,国语,迪克牛仔,迪克牛仔,,,,男,,,,R,L,3
28036L7,好人,粤语,侧田,侧田,,,,男,,,,L,R,2
55798Y,你在我心中,国语,王菲,王菲,,,,女,,,,L,R,17
808028L2,庭院深深,国语,蔡琴,蔡琴,,,,女,,,,R,L,11
55847,如风往事,国语,李宗盛^卢冠廷,李宗盛,卢冠廷,,,男,男,,,L,R,
808200S4,我比想象中爱你,国语,JS,JS,,,,合,,,,L,R,9
808526L2,驼铃,国语,蒋大为,蒋大为,,,,男,,,,L,0,6
27906L2,龙争虎斗,粤语,郑伊健,郑伊健,,,,男,,,,L,R,1
808605L2,心的祈祷,国语,臧天朔,臧天朔,,,,男,,,,R,L,5
808616L2,我悄悄地蒙上你的眼睛,国语,佚名,佚名,,,,合,,,,L,R,1
55902,我爱的她不爱我,国语,孙楠,孙楠,,,,男,,,,L,R,
808839L2,弯弯的月亮,国语,毛宁,毛宁,,,,男,,,,0,R,2
808935F2,霞飞路87号,国语,黑棒乐队,黑棒乐队,,,,合,,,,L,R,4
28176L7,红日,粤语,谭咏麟^李克勤,谭咏麟,李克勤,,,男,男,,,L,R,3
55928,明天我要嫁给你,国语,李度,李度,,,,女,,,,L,R,1
811298T5,新不了情,国语,薛凯琪,薛凯琪,,,,女,,,,L,R,4
28245L7,敢爱敢做,粤语,林子祥,林子祥,,,,男,,,,L,R,3
811590S1,吻得太逼真,国语,张敬轩,张敬轩,,,,男,,,,L,R,1
55982A1,一个小心愿,国语,邓丽君,邓丽君,,,,女,,,,L,R,1
24091Y,漫步人生路,粤语,邓丽君,邓丽君,,,,女,,,,L,R,2
24108Y,那有一天不想你,粤语,黎明,黎明,,,,男,,,,L,R,1
24111Y,没名字的歌无名字的你,粤语,黎明,黎明,,,,男,,,,L,R,3
24151,今生不再,粤语,黎明,黎明,,,,男,,,,L,R,1
62249Y,汽球,国语,许哲佩,许哲佩,,,,女,,,,0,R,1
56113,唱这歌,国语,郭富城,郭富城,,,,男,,,,L,R,1
24170Y,今夜你会不会来,粤语,黎明,黎明,,,,男,,,,L,R,1
24493,拒绝再玩,粤语,张国荣,张国荣,,,,男,,,,L,R,6
66999Y1,手牵手,国语,群星,群星,,,,,,,,L,R,1
24499Y,来来回回,粤语,张学友,张学友,,,,男,,,,L,R,1
67157Y1,天空的颜色,国语,JS,JS,,,,合,,,,L,R,1
56261Y,相信她关心她,国语,张学友,张学友,,,,男,,,,L,R,
67376Y,人在雨中,国语,张学友,张学友,,,,男,,,,L,R,1
67730I1,生日快乐,国语,伊能静,伊能静,,,,女,,,,L,R,1
68941P2,让我们荡起双桨,国语,黑鸭子,黑鸭子,,,,合,,,,R,L,1
69158P7,太湖美,国语,那英,那英,,,,女,,,,R,L,2
51856,天地在我心,国语,刘欢,刘欢,,,,男,,,,L,R,1
56452,八月桂花香,国语,佚名,佚名,,,,合,,,,L,R,
56480A7,水上人,国语,邓丽君,邓丽君,,,,女,,,,L,R,3
28308L1,分分钟钟需要你,粤语,莫文蔚,莫文蔚,,,,女,,,,R,L,1
812137G2,下一个月亮,国语,郭静,郭静,,,,女,,,,0,R,2
56516,取暖,国语,张国荣,张国荣,,,,男,,,,L,R,
812145S1,我们的无奈,国语,山野,山野,,,,男,,,,L,R,1
812161T1,我和你,国语,刘欢,刘欢,,,,男,,,,L,R,1
56634,拥抱我,国语,柯以敏,柯以敏,,,,女,,,,L,R,1
812342S7,我的心里只有你没有他,国语,李宇春,李宇春,,,,女,,,,L,R,3
812347B1,天下,国语,张杰,张杰,,,,男,,,,L,R,1
56670,情难枕,国语,姜育恒,姜育恒,,,,男,,,,L,R,
812476S5,为了谁,国语,佟铁鑫^祖海,佟铁鑫,祖海,,,男,女,,,L,R,2
812484S7,我是一只鱼,国语,任贤齐,任贤齐,,,,男,,,,R,L,3
56800Y,等到天昏地暗,国语,黎明,黎明,,,,男,,,,L,R,
812787S7,听说爱情回来过,国语,张敬轩,张敬轩,,,,男,,,,R,L,3
813115B1,我们的小世界,国语,彭坦^春晓,彭坦,春晓,,,男,,,,L,R,1
56905Y,霸王别姬,国语,屠洪刚,屠洪刚,,,,男,,,,L,R,
56917,对面的女孩看过来,国语,阿牛,阿牛,,,,男,,,,L,R,1
813199A1,无言的结局,国语,黄子俊^孙琳,黄子俊,孙琳,,,男,女,,,L,R,4
813205A1,心雨,国语,孙傅涵^鲍艺芳,孙傅涵,鲍艺芳,,,男,,,,L,R,4
813305A1,驼铃,国语,含笑,含笑,,,,男,,,,L,R,4
813310A1,为了谁,国语,祝友^景仪,祝友,景仪,,,男,男,,,L,R,1
813311A1,笑傲江湖,国语,含笑,含笑,,,,男,,,,L,R,1
813463S1,亡命之徒,国语,纵贯线,纵贯线,,,,合,,,,L,R,3
42951M1,千里之外,国语,费玉清,费玉清,,,,男,,,,L,R,1
42989Z1,仨人,国语,郭静^范玮琪^张韶涵,郭静,范玮琪,张韶涵,,女,女,女,,L,R,1
43032Z1,热浪,国语,温岚,温岚,,,,女,,,,L,R,1
43116Z1,你的香气,国语,郭静,郭静,,,,女,,,,L,R,1
43151Y1,缺氧,国语,杨丞琳,杨丞琳,,,,女,,,,L,R,1
43164Y1,任意门,国语,杨丞琳,杨丞琳,,,,女,,,,L,R,1
43204M1,三个心愿,国语,F.I.R,F.I.R,,,,合,,,,L,R,1
43419Y1,青花,国语,周传雄,周传雄,,,,男,,,,L,R,1
43452Y1,其实我一直都想对你说,国语,莫文蔚,莫文蔚,,,,女,,,,L,R,1
57051,缘,国语,潘安邦,潘安邦,,,,男,,,,L,R,
43497M1,庆幸有你爱我,国语,蔡淳佳,蔡淳佳,,,,女,,,,L,R,1
43695Z1,牵牵牵手,国语,吴克群,吴克群,,,,男,,,,L,R,1
43745M1,逃生,国语,张信哲,张信哲,,,,男,,,,L,R,1
43839Z1,陪我歌唱,国语,苏打绿,苏打绿,,,,合,,,,L,R,1
43848Y1,神秘嘉宾,国语,林宥嘉,林宥嘉,,,,男,,,,L,R,1
24562Y,极速,粤语,郑伊健,郑伊健,,,,男,,,,L,R,1
57188,忘不掉的伤,国语,姜玉阳,姜玉阳,,,,男,,,,L,R,1
43849M1,收藏,国语,萧敬腾,萧敬腾,,,,男,,,,L,R,1
43969M7,疼爱,国语,萧敬腾,萧敬腾,,,,男,,,,L,R,1
44041Z1,速配程度,国语,萧亚轩,萧亚轩,,,,女,,,,L,R,1
44055Y1,你不像她,国语,南拳妈妈,南拳妈妈,,,,合,,,,L,R,1
44062Z1,死结,国语,李玖哲,李玖哲,,,,男,,,,L,R,1
44092Y1,如果能在一起,国语,梁静茹,梁静茹,,,,女,,,,L,R,1
813667S2,我要去西藏,国语,乌兰托亚,乌兰托亚,,,,女,,,,R,L,6
Ma843509,海阔天空,粤语,BEYOND,BEYOND,,,,合,,,,1,2,
813752S1,小螺号,国语,王雪晶,王雪晶,,,,女,,,,R,L,1
813757S1,小白杨,国语,龚玥,龚玥,,,,女,,,,L,R,1
814256B7,天下有情人,国语,郁可唯^魏晨,郁可唯,魏晨,,,女,,,,R,L,2
C2012120003,VA VA VOOM,英语,NICKI MINAJ,NICKI MINAJ,,,,女,,,,2,1,1
Ma809558,海浪,国语,黄品源,黄品源,,,,男,,,,1,2,
57424,贤良,国语,苏阳乐队,苏阳乐队,,,,,,,,L,R,
41175Y1,我还记得,国语,梁静茹,梁静茹,,,,女,,,,L,R,1
41176Y1,相爱多年,国语,许志安^韩红,许志安,韩红,,,男,女,,,L,R,1
57570G2,年轻就要对味,国语,五月天,五月天,,,,合,,,,L,R,1
40094M1,听见,国语,孙燕姿,孙燕姿,,,,女,,,,L,R,3
40011Y1,我爱你,国语,SHE,SHE,,,,合,,,,L,R,1
40030M1,问情,国语,黄思婷,黄思婷,,,,女,,,,L,R,1
41334Y1,心动心痛,国语,刘耕宏^许慧欣,刘耕宏,许慧欣,,,男,女,,,L,R,1
41367Z1,喜欢你没道理,国语,张韶涵,张韶涵,,,,女,,,,L,R,1
41389Y1,完美的互动,国语,王力宏^RAIN^J-LIM,王力宏,RAIN,J-LIM,,男,男,男,,L,R,1
57711B7,不痛,国语,周笔畅,周笔畅,,,,女,,,,L,R,3
41437Z1,痛彻心扉,国语,张栋梁,张栋梁,,,,男,,,,L,R,1
41476Y1,位置,国语,A-LIN,A-LIN,,,,女,,,,L,R,1
41509Y1,我们小时候,国语,TANK,TANK,,,,男,,,,L,R,1
40133Y1,挑衅,国语,信乐团,信乐团,,,,合,,,,L,R,1
40161M1,下一次爱情来的时候,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,2
21327,浪子心声,粤语,刘德华^张家辉,刘德华,张家辉,,,男,男,,,L,R,1
40168Y7,瓦解,国语,周杰伦,周杰伦,,,,男,,,,L,R,3
40177Y1,我懂了她,国语,李圣杰,李圣杰,,,,男,,,,L,R,1
40218Y1,小狼狗,国语,任贤齐,任贤齐,,,,男,,,,L,R,1
41302Y1,谢谢你让我这么爱你,国语,柯以敏,柯以敏,,,,女,,,,L,R,1
41303Z5,外面,国语,周迅,周迅,,,,女,,,,L,R,1
41568Y1,我行我素,国语,MC HotDog,MC HotDog,,,,男,,,,L,R,1
41676Z1,我相信,国语,杨培安,杨培安,,,,男,,,,L,R,1
41842M1,天天夜夜,国语,F.I.R,F.I.R,,,,合,,,,L,R,1
57899B,风吹麦浪,国语,李健,李健,,,,男,,,,L,R,
57949E,笑傲江湖,国语,含笑,含笑,,,,男,,,,L,R,1
41869Y1,谢谢,国语,潘玮柏,潘玮柏,,,,男,,,,L,R,1
41896Y1,心肝宝贝,国语,刘德华,刘德华,,,,男,,,,L,R,1
41926,我们怎么了,国语,SHE,SHE,,,,合,,,,L,R,1
41508A1,熟能生巧,国语,林俊杰,林俊杰,,,,男,,,,L,R,1
41528Y1,手,国语,莫文蔚,莫文蔚,,,,女,,,,L,R,1
40122M1,双栖动物,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,1
41136Y1,你喔,国语,苏打绿,苏打绿,,,,合,,,,L,R,1
58057D,鸿雁,国语,腾格尔,腾格尔,,,,男,,,,L,R,1
21417,麦兜与鸡,粤语,麦兜,麦兜,,,,男,,,,L,R,9
21528,明知做戏,粤语,吴雨霏,吴雨霏,,,,女,,,,L,R,1
41200Y1,你微笑时好美,国语,谢霆锋,谢霆锋,,,,男,,,,L,R,1
58132E,白痴,国语,王菲,王菲,,,,女,,,,L,R,
58133B1,父亲,国语,刘和刚,刘和刚,,,,男,,,,L,R,
40049Y1,圣诞夜惊魂,国语,五月天,五月天,,,,合,,,,L,R,1
40053Y1,你们要快乐,国语,李圣杰,李圣杰,,,,男,,,,L,R,1
41123Y1,四面楚歌,国语,周杰伦,周杰伦,,,,男,,,,L,R,1
41124Y1,你不爱我,国语,康康,康康,,,,男,,,,L,R,1
41340Y1,是我的海,国语,苏打绿,苏打绿,,,,合,,,,L,R,1
41354Y1,失恋无罪,国语,A-LIN,A-LIN,,,,女,,,,L,R,1
41373Y1,逆鳞,国语,周杰伦,周杰伦,,,,男,,,,L,R,1
41375Y1,情画,国语,刘耕宏,刘耕宏,,,,男,,,,L,R,1
41414Y7,傻瓜,国语,东方神起,东方神起,,,,合,,,,L,R,3
58294S1,我爱你,国语,王菲,王菲,,,,女,,,,L,R,1
41435Y1,四季,国语,A-LIN,A-LIN,,,,女,,,,L,R,1
58325D,不爱FOREVER,国语,陶喆,陶喆,,,,,,,,L,R,
21612,可惜我是水瓶座,粤语,郑中基,郑中基,,,,男,,,,L,R,3
41452Y1,诗人的眼泪,国语,游鸿明,游鸿明,,,,男,,,,L,R,1
21705,离家出走,粤语,卫兰,卫兰,,,,女,,,,L,R,1
41498M1,平常心,国语,张惠妹,张惠妹,,,,女,,,,L,R,1
41606A1,你要的不是我,国语,林俊杰,林俊杰,,,,男,,,,L,R,1
41723M1,深信不疑,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,1
41888Z1,太美丽,国语,陶喆,陶喆,,,,男,,,,L,R,1
42004Z1,似曾相识,国语,陶喆,陶喆,,,,男,,,,L,R,1
42005M1,你很爱他,国语,F.I.R,F.I.R,,,,合,,,,L,R,1
21773,你爱我爱不起,粤语,郑秀文,郑秀文,,,,女,,,,L,R,1
42110Y1,陪你等天亮,国语,许慧欣^潘玮仪,许慧欣,潘玮仪,,,女,男,,,L,R,1
58663E,彼岸,国语,汪峰,汪峰,,,,男,,,,L,R,3
42125Z1,女爵,国语,杨乃文,杨乃文,,,,女,,,,L,R,1
42174,你是我的花朵,国语,伍佰 & CHINA BLUE,伍佰 & CHINA BLUE,,,,合,,,,L,R,1
42273,生日快乐,国语,刘若英,刘若英,,,,女,,,,L,R,1
42312,念奴娇,国语,伊能静,伊能静,,,,女,,,,L,R,1
58759S6,好聚好散,国语,郑源,郑源,,,,男,,,,L,R,17
42530Y1,是我不可爱,国语,弦子,弦子,,,,女,,,,L,R,1
42707M1,苏丽珍,国语,方大同,方大同,,,,男,,,,L,R,1
42784Z7,女明星,国语,陈绮贞,陈绮贞,,,,女,,,,L,R,3
42797Z1,飘着,国语,孙燕姿,孙燕姿,,,,女,,,,L,R,1
42933A1,杀手,国语,林俊杰,林俊杰,,,,男,,,,L,R,1
44525M1,你在不在,国语,郭采洁,郭采洁,,,,女,,,,L,R,1
58847S2,当你的秀发拂过我的钢枪,国语,佚名,佚名,,,,合,,,,1,2,
44539Y1,日光,国语,苏打绿,苏打绿,,,,合,,,,L,R,1
58937B7,桃花谣,国语,谭晶,谭晶,,,,女,,,,L,R,3
44561Z1,身骑白马,国语,徐佳莹,徐佳莹,,,,女,,,,L,R,1
44573Y1,双人舞,国语,潘玮柏,潘玮柏,,,,男,,,,L,R,1
44574Y1,全世界都停电,国语,TANK,TANK,,,,男,,,,L,R,1
44577Z1,失落沙洲,国语,徐佳莹,徐佳莹,,,,女,,,,L,R,1
59071G2,残骸,国语,周杰伦^刘耕宏,周杰伦,刘耕宏,,,男,男,,,L,R,17
44643M1,善男信女,国语,萧敬腾,萧敬腾,,,,男,,,,L,R,1
59077D1,白色球鞋,国语,陈奕迅,陈奕迅,,,,男,,,,L,R,1
44650Y1,亲爱的,国语,潘玮柏,潘玮柏,,,,男,,,,L,R,1
44662M1,你快乐我内伤,国语,蔡依林,蔡依林,,,,女,,,,L,R,2
44722Z1,谁,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,1
44724Z1,若你碰到他,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,1
44735Z1,抛物线,国语,蔡健雅,蔡健雅,,,,女,,,,L,R,1
50041Y,谁不说俺家乡好,国语,彭丽媛,彭丽媛,,,,女,,,,L,R,1
50059Y,山丹丹花开红艳艳,国语,李谷一,李谷一,,,,女,,,,L,R,1
50062,天上掉下个林妹妹,国语,越剧,越剧,,,,合,,,,L,R,2
50069,让我们荡起双桨,国语,佚名,佚名,,,,合,,,,L,R,1
50141,太阳最红毛主席最亲,国语,佚名,佚名,,,,合,,,,L,R,1
59418S1,依恋,国语,蔡淳佳,蔡淳佳,,,,女,,,,L,R,1
50259D7,你的样子,国语,张靓颖,张靓颖,,,,女,,,,L,R,2
50327Y,说句心里话,国语,阎维文,阎维文,,,,男,,,,L,R,1
50353Y,女人是老虎,国语,李娜,李娜,,,,女,,,,L,R,1
59551S7,和你一样,国语,李宇春,李宇春,,,,女,,,,L,R,3
50370Y,朋友,国语,臧天朔,臧天朔,,,,男,,,,L,R,1
21977F1,酷爱,粤语,张敬轩,张敬轩,,,,男,,,,L,R,1
22246E,拍错拖,粤语,卫兰,卫兰,,,,女,,,,L,R,3
22302Y,冷雨夜,粤语,BEYOND,BEYOND,,,,合,,,,L,R,3
50401,谁说女子不如男,国语,豫剧,豫剧,,,,合,,,,L,R,11
50413,说唱脸谱,国语,佚名,佚名,,,,合,,,,L,R,11
50454,山歌好比春江水,国语,斯琴格日乐,斯琴格日乐,,,,女,,,,L,R,2
50479,三套车,国语,佚名,佚名,,,,合,,,,L,R,1
50488,伤心泪,国语,陈星,陈星,,,,男,,,,L,R,1
22308,农民,粤语,BEYOND,BEYOND,,,,合,,,,L,R,1
50599Y,热情的沙漠,国语,动力火车,动力火车,,,,合,,,,L,R,3
59704B1,你过得好吗,国语,薛之谦,薛之谦,,,,男,,,,L,R,1
22372,几分伤心几分痴,粤语,王杰,王杰,,,,男,,,,L,R,1
50664Y,让梦冬眠,国语,孙楠^艾雨,孙楠,艾雨,,,男,女,,,L,R,4
59808S7,给我一个吻,国语,蔡琴,蔡琴,,,,女,,,,L,R,
59811S7,何日君再来,国语,蔡琴,蔡琴,,,,女,,,,L,R,
59814S7,绿岛小夜曲,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59815S7,明月千里寄相思,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59816S7,南屏晚钟,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59817S7,亲蜜爱人,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59820S7,甜蜜蜜,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59822S7,往事只能回味,国语,蔡琴,蔡琴,,,,女,,,,L,R,
59823S7,我一见你就笑,国语,蔡琴,蔡琴,,,,女,,,,L,R,
59825S7,夜来香,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59828S7,月亮代表我的心,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
59988,相亲相爱,国语,佚名,佚名,,,,合,,,,L,R,
50773Z1,你是爱我的,国语,张惠妹,张惠妹,,,,女,,,,L,R,1
60015Y,情锁,国语,蔡琴,蔡琴,,,,女,,,,L,R,
50790Y,思念,国语,毛阿敏,毛阿敏,,,,女,,,,L,R,1
22396Y,冷战,粤语,王菲,王菲,,,,女,,,,L,R,1
50802,桑园访妻,国语,茅威涛,茅威涛,,,,女,,,,L,R,1
60031P2,掌声响起来,国语,佚名,佚名,,,,合,,,,R,L,
60043Y,萍聚,国语,李富兴^李翊君,李富兴,李翊君,,,男,女,,,L,R,
22438Y,男朋友,粤语,古天乐,古天乐,,,,男,,,,L,R,1
60059Y,爱我,国语,姜育恒,姜育恒,,,,男,,,,L,R,17
51023Y1,他在那里,国语,张学友,张学友,,,,男,,,,L,R,1
60081,爱慕,国语,张学友,张学友,,,,男,,,,L,R,3
51219Y,如果这都不算爱,国语,伍佰,伍佰,,,,男,,,,L,R,3
22607Y,旧欢如梦,粤语,李克勤,李克勤,,,,男,,,,L,R,2
22635Y,蓝月亮,粤语,李克勤,李克勤,,,,男,,,,L,R,1
22720,怕黑,粤语,周华健,周华健,,,,男,,,,L,R,1
51235,手心手背都是肉,国语,俞侩珍,俞侩珍,,,,女,,,,L,R,2
60122Y1,牵挂,国语,伍佰 & CHINA BLUE,伍佰 & CHINA BLUE,,,,合,,,,L,R,
51316,绒花,国语,韩红,韩红,,,,女,,,,L,R,1
60146,心动,国语,林隆璇,林隆璇,,,,男,,,,L,R,
51387,你的柔情我永远不懂,国语,陈琳,陈琳,,,,女,,,,L,R,1
51473,你在他乡还好吗,国语,李进,李进,,,,男,,,,L,R,1
51705Y,热情的沙漠,国语,张国荣,张国荣,,,,男,,,,L,R,3
60183A1,我怎能离开你,国语,邓丽君,邓丽君,,,,女,,,,L,R,1
22758,男儿当自强,粤语,林子祥,林子祥,,,,男,,,,L,R,1
60191Y,张三的歌,国语,李寿全,李寿全,,,,,,,,L,R,
22929Y,每一步,粤语,徐小凤,徐小凤,,,,女,,,,L,R,3
22975,朋友,粤语,草蜢,草蜢,,,,合,,,,L,R,1
23017Y,留给最爱的说话,粤语,张柏芝,张柏芝,,,,女,,,,L,R,1
60247Y,化妆舞会,国语,于台烟,于台烟,,,,女,,,,L,R,1
23044Y,你在何地,粤语,张国荣,张国荣,,,,男,,,,L,R,3
23049Y,路过蜻蜓,粤语,张国荣,张国荣,,,,男,,,,L,R,1
23053Y,侬本多情,粤语,张国荣,张国荣,,,,男,,,,L,R,1
60259,逝去的爱,国语,欧阳菲菲,欧阳菲菲,,,,女,,,,L,R,17
23063Y,寂寞夜晚,粤语,张国荣,张国荣,,,,男,,,,L,R,3
23067Y,明星,粤语,张国荣,张国荣,,,,男,,,,L,R,3
23123Y,离开以后,粤语,张学友,张学友,,,,男,,,,L,R,1
51888Y,悄悄蒙上你的眼睛,国语,蔡国庆^陈红,蔡国庆,陈红,,,男,女,,,L,R,2
G201303020,HEARTBREAKER,英语,MARIAH CAREY,MARIAH CAREY,,,,女,,,,1,2,1
53897Y5,天亮以后,国语,胡歌,胡歌,,,,男,,,,L,R,4
53946,认真的雪,国语,薛之谦,薛之谦,,,,男,,,,L,R,1
23143Y,李香兰,粤语,张学友,张学友,,,,男,,,,L,R,3
60388Y,追风少年,国语,吴奇隆,吴奇隆,,,,男,,,,L,R,
24617Y,迷魂记,粤语,王菲,王菲,,,,女,,,,L,R,1
23170Y,寂寞的男人,粤语,张学友,张学友,,,,男,,,,L,R,3
23185Y,明日世界终结时,粤语,张学友,张学友,,,,男,,,,L,R,3
51920Y,天不下雨天不刮风天上有太阳,国语,尹相杰^于文华,尹相杰,于文华,,,男,,,,L,R,1
23395Y,乱世巨星,粤语,陈小春,陈小春,,,,男,,,,L,R,1
23413,涟漪,粤语,陈百强,陈百强,,,,男,,,,L,R,1
23414Y,念亲恩,粤语,陈百强,陈百强,,,,男,,,,L,R,1
60456Y,心痛的感觉,国语,苏芮,苏芮,,,,女,,,,L,R,
60457Y,枫叶情,国语,凤飞飞,凤飞飞,,,,女,,,,L,R,17
60463Y,花房姑娘,国语,林志炫,林志炫,,,,男,,,,L,R,
51963,女人花,国语,李进,李进,,,,男,,,,L,R,1
60481S7,再爱我一次,国语,蔡琴,蔡琴,,,,女,,,,L,R,3
52145Y,千万次的问,国语,刘欢,刘欢,,,,男,,,,L,R,1
52168Y,嫂子颂,国语,李娜,李娜,,,,女,,,,L,R,1
60486Y,外面的世界,国语,齐秦,齐秦,,,,男,,,,L,R,
52171Y,请茶歌,国语,李谷一,李谷一,,,,女,,,,L,R,1
52254Y,悄悄蒙上你的眼睛,国语,毛宁^杨钰莹,毛宁,杨钰莹,,,男,女,,,L,R,3
52293Y,深呼吸,国语,羽泉,羽泉,,,,合,,,,L,R,1
52303Y,谁,国语,谢雨欣,谢雨欣,,,,女,,,,L,R,1
23460Y,垃圾,粤语,陈奕迅,陈奕迅,,,,男,,,,L,R,3
60541A7,再见我的爱人,国语,邓丽君,邓丽君,,,,女,,,,L,R,3
23500Y,今天的爱人是谁,粤语,陈慧娴,陈慧娴,,,,女,,,,L,R,1
23623Y,绝对是个梦,粤语,汤宝如,汤宝如,,,,女,,,,L,R,2
60562Y7,马不停蹄的忧伤,国语,黄舒骏,黄舒骏,,,,男,,,,L,R,3
23917Y,假装,粤语,刘德华,刘德华,,,,男,,,,L,R,1
52389,沙滩,国语,陶喆^梅艳芳,陶喆,梅艳芳,,,男,女,,,L,R,3
23951Y,你是我的女人,粤语,刘德华,刘德华,,,,男,,,,L,R,1
23958Y,可不可以,粤语,刘德华,刘德华,,,,男,,,,L,R,1
52462,生如夏花,国语,朴树,朴树,,,,男,,,,L,R,5
52671,天空,国语,韩红,韩红,,,,女,,,,L,R,5
24620Y,每天爱你多一些,粤语,张学友,张学友,,,,男,,,,L,R,3
52761,算命,国语,越剧,越剧,,,,合,,,,L,R,1
52769,琴心,国语,越剧,越剧,,,,合,,,,L,R,1
52788,妻子,国语,谭晶,谭晶,,,,女,,,,L,R,1
60648,寂寞的眼,国语,周华健,周华健,,,,男,,,,L,R,1
24921Y,你的名字我的姓氏,粤语,张学友,张学友,,,,男,,,,L,R,3
52939,让我们荡起双桨,国语,零点乐队,零点乐队,,,,合,,,,L,R,3
53030,是否,国语,罗大佑,罗大佑,,,,男,,,,L,R,3
24983,离春天多么远,粤语,辛晓琪,辛晓琪,,,,女,,,,L,R,1
53032,天黑黑,国语,张学友,张学友,,,,男,,,,L,R,3
53137Y,送别,国语,阎维文,阎维文,,,,男,,,,L,R,1
24989,哭,粤语,林忆莲,林忆莲,,,,女,,,,L,R,1
53200,神奇的九寨,国语,容中尔甲,容中尔甲,,,,男,,,,L,R,5
60722,悲伤止步,国语,苏永康,苏永康,,,,男,,,,L,R,1
53318,你是我的玫瑰花,国语,庞龙,庞龙,,,,男,,,,L,R,1
53381Y1,飘移,国语,周杰伦,周杰伦,,,,男,,,,L,R,1
53445Y5,太早,国语,刘允乐,刘允乐,,,,男,,,,L,R,1
Ma845209,好人,粤语,侧田,侧田,,,,男,,,,1,2,1
60764,流水年华,国语,凤飞飞,凤飞飞,,,,女,,,,L,R,
53667,女儿情,国语,温慧君,温慧君,,,,女,,,,L,R,1
53678Y,太湖美,国语,宋祖英,宋祖英,,,,女,,,,L,R,2
Ma803740,好想你,国语,徐若瑄,徐若瑄,,,,女,,,,1,2,
53701,怒放的生命,国语,汪峰,汪峰,,,,男,,,,L,R,1
53746,请跟我来,国语,刘尊^郭彤,刘尊,郭彤,,,男,,,,L,R,1
54007,求佛,国语,誓言,誓言,,,,男,,,,L,R,9
54027,全世界只想你来爱我,国语,张国荣,张国荣,,,,男,,,,L,R,1
HAN201112350,为爱疯狂,国语,张靓颖,张靓颖,,,,女,,,,1,2,2
54028,如果云知道,国语,齐秦,齐秦,,,,男,,,,L,R,3
54036,私奔,国语,郑钧,郑钧,,,,男,,,,L,R,1
54039,陪我看日出,国语,蔡淳佳,蔡淳佳,,,,女,,,,L,R,1
54212Y,情债,国语,陈明真,陈明真,,,,女,,,,L,R,1
54235Y,千言万语,国语,王菲,王菲,,,,女,,,,L,R,3
54315Y,四季歌,国语,周璇,周璇,,,,女,,,,L,R,1
54363Y,青春梦,国语,谭咏麟,谭咏麟,,,,男,,,,L,R,1
60867,多年以后,国语,姜育恒,姜育恒,,,,男,,,,L,R,1
54372Y,秋意浓,国语,张学友,张学友,,,,男,,,,L,R,1
